Ecoli,Proteus,Staphylo
P0ADE4,49.87,24.946
P69425,43.443,24.706
P69423,60.185,27.614
P09153,25.698,25.094
P31549,56.176,25.264
P31548,48.089,30.894
O32583,36.082,26.549
P25396,26.217,25.956
P25397,30.0,25.0
P77163,26.538,25.172
P30136,75.239,23.893
P0AGG8,67.888,24.663
P31550,50.909,25.261
P76423,25.349,31.91
P0AA25,69.531,38.312
P37025,26.295,24.632
P31142,37.745,24.895
P23173,37.086,26.725
